词汇,清华词频,字数,搜狗重合,八股文重合,前两个AND
水果奶油蛋糕,36,6,1,0,0
雪菜大汤黄鱼,36,6,1,0,0
望海天天渔港,37,6,1,0,0
酒石酸氢胆碱,37,6,1,0,0
干锅带皮牛肉,38,6,1,0,0
维也纳冰咖啡,38,6,1,0,0
草莓芝士蛋糕,38,6,1,0,0
红烧牛肉罐头,39,6,1,0,0
纽约芝士蛋糕,43,6,1,0,0
德懋恭水晶饼,44,6,1,0,0
硬脂酰乳酸钠,47,6,1,0,0
天门冬酰胺酶,48,6,1,0,0
枸杞海参鸽蛋,49,6,1,0,0
酸豆角炒肉末,51,6,1,0,0
辛癸酸甘油酯,53,6,1,0,0
二氯苯氧乙酸,59,6,1,0,0
巧克力布朗尼,61,6,1,0,0
没食子酸丙酯,65,6,1,0,0
老童家腊羊肉,65,6,1,0,0
脱乙酰甲壳素,65,6,1,0,0
金丝琥珀蜜枣,67,6,1,0,0
甘油脂肪酸酯,73,6,1,0,0
福州茉莉花茶,79,6,1,0,0
摩卡薄荷咖啡,80,6,1,0,0
磷脂酰乙醇胺,97,6,1,0,0
糖水荔枝罐头,98,6,1,0,0
蛋黄莲蓉月饼,98,6,1,0,0
芒果芝士蛋糕,103,6,1,0,0
折耳根炒腊肉,113,6,1,0,0
聚乙酸乙烯酯,114,6,1,0,0
赖氨酸盐酸盐,124,6,1,0,0
异麦芽酮糖醇,128,6,1,0,0
乙酰磺胺酸钾,134,6,1,0,0
异抗坏血酸钠,134,6,1,0,0
蔗糖脂肪酸酯,136,6,1,0,0
迷迭香提取物,141,6,1,0,0
叶绿素铜钠盐,153,6,1,0,0
城隍庙五香豆,155,6,1,0,0
正山小种红茶,155,6,1,0,0
老孙家羊肉泡,155,6,1,0,0
苏州茉莉花茶,157,6,1,0,0
葡萄糖酸内酯,175,6,1,0,0
西红柿牛肉汤,184,6,1,0,0
贾三灌汤包子,190,6,1,0,0
胶姆糖基础剂,225,6,1,0,0
清汤柳叶燕菜,255,6,1,0,0
阿里山高山茶,299,6,1,0,0
羧甲基淀粉钠,391,6,1,0,0
乳酸链球菌素,413,6,1,0,0
酪蛋白磷酸肽,750,6,1,0,0
哥伦比亚咖啡,867,6,1,0,0
康师傅冰红茶,965,6,1,0,0
蛋白混合饮料,1183,6,1,0,0
葡萄糖酸亚铁,1230,6,1,0,0
过氧化苯甲酰,1453,6,1,0,0
草莓奶油蛋糕,1540,6,1,0,0
葡萄籽提取物,2545,6,1,0,0
三丝面疙瘩,1,5,1,0,0
东坡春鸠脍,1,5,1,0,0
东方蒙特尔,1,5,1,0,0
丹参黄豆汤,1,5,1,0,0
乡村玉米饼,1,5,1,0,0
乳鸽瓤猪肚,1,5,1,0,0
二氢香豆素,1,5,1,0,0
人参鸡肉汤,1,5,1,0,0
什锦一品锅,1,5,1,0,0
什锦冬瓜帽,1,5,1,0,0
什锦豆腐煲,1,5,1,0,0
仙鹤望金桥,1,5,1,0,0
倭井潭硬糕,1,5,1,0,0
兔肝鸡蛋汤,1,5,1,0,0
八宝青蟹饭,1,5,1,0,0
冰结构蛋白,1,5,1,0,0
凉拌辣味螺,1,5,1,0,0
南乳小凤饼,1,5,1,0,0
参果炖瘦肉,1,5,1,0,0
参茸鸡肉汤,1,5,1,0,0
口味金牛蹄,1,5,1,0,0
口感盐煎肉,1,5,1,0,0
咖喱鸡丝羹,1,5,1,0,0
四味山药膏,1,5,1,0,0
土豆罐焖鸡,1,5,1,0,0
夹沙条头糕,1,5,1,0,0
奶油花生糖,1,5,1,0,0
姜汁拌菠菜,1,5,1,0,0
姜茶乌梅粥,1,5,1,0,0
宁波豆酥糖,1,5,1,0,0
定边羊羔肉,1,5,1,0,0
山毛榉坚果,1,5,1,0,0
山药蒸鲫鱼,1,5,1,0,0
巧克力刺猬,1,5,1,0,0
巧克力汽酒,1,5,1,0,0
彩虹水晶球,1,5,1,0,0
扒龙须鲍鱼,1,5,1,0,0
拌豆腐干丝,1,5,1,0,0
景星碧绿茶,1,5,1,0,0
杏仁香片酥,1,5,1,0,0
杭州绿豆糕,1,5,1,0,0
板栗煲老鸡,1,5,1,0,0
枸杞炖羊脑,1,5,1,0,0
枸杞田螺汤,1,5,1,0,0
樱桃酒咖啡,1,5,1,0,0
油煎南瓜饼,1,5,1,0,0
泡椒响螺片,1,5,1,0,0
泡椒蒸水鱼,1,5,1,0,0
海参木耳汤,1,5,1,0,0
海带清热汤,1,5,1,0,0
海带猪骨汤,1,5,1,0,0
海米拌菜花,1,5,1,0,0
海米烧菜花,1,5,1,0,0
海米烧萝卜,1,5,1,0,0
海米萝卜汤,1,5,1,0,0
海鲜铁锅烧,1,5,1,0,0
淳安猕猴桃,1,5,1,0,0
潮式老婆饼,1,5,1,0,0
澳洲万格红,1,5,1,0,0
炝糟五花肉,1,5,1,0,0
炸冬瓜丸子,1,5,1,0,0
烤花揽鳜鱼,1,5,1,0,0
煨牛肉月饼,1,5,1,0,0
熟地山药粥,1,5,1,0,0
牛蒡排骨汤,1,5,1,0,0
猪肚煲咸菜,1,5,1,0,0
甘柠芝麻虾,1,5,1,0,0
白术猪肚汤,1,5,1,0,0
白果海鲜羹,1,5,1,0,0
白汁五柳鱼,1,5,1,0,0
白炒刀鱼丝,1,5,1,0,0
白豪银针茶,1,5,1,0,0
百合枣仁汤,1,5,1,0,0
碳酸氢三钠,1,5,1,0,0
空心南瓜饼,1,5,1,0,0
米老鼠蛋糕,1,5,1,0,0
粉丝焗膏蟹,1,5,1,0,0
糖醋红柿椒,1,5,1,0,0
紫菜蛋皮卷,1,5,1,0,0
红烧猴头蘑,1,5,1,0,0
红糖米花糖,1,5,1,0,0
红葱烧腊肉,1,5,1,0,0
红豆莲枣粽,1,5,1,0,0
美极基围虾,1,5,1,0,0
美的青春茶,1,5,1,0,0
胡椒海参汤,1,5,1,0,0
脆炸火龙果,1,5,1,0,0
脆皮鸳鸯糕,1,5,1,0,0
芝士海鲜盏,1,5,1,0,0
芝麻小白菜,1,5,1,0,0
芦笋炒鸡柳,1,5,1,0,0
芦笋煎黄菜,1,5,1,0,0
花胶瘦肉羹,1,5,1,0,0
芹黄烧鱼条,1,5,1,0,0
茄汁牛肉汤,1,5,1,0,0
茭白炒毛豆,1,5,1,0,0
草莓龙舌兰,1,5,1,0,0
药膳煲水鱼,1,5,1,0,0
菜心炒猪肝,1,5,1,0,0
菠萝龙眼鱼,1,5,1,0,0
葡萄干炒饭,1,5,1,0,0
葱爆羊肉丁,1,5,1,0,0
蒜拌空心菜,1,5,1,0,0
蒜香煎海虾,1,5,1,0,0
蒿杆炒鳝丝,1,5,1,0,0
蓬莱仙芝茶,1,5,1,0,0
薏仁苦瓜粥,1,5,1,0,0
虎皮核桃仁,1,5,1,0,0
虎皮烩鸡丁,1,5,1,0,0
虫草八卦汤,1,5,1,0,0
西西里面包,1,5,1,0,0
话梅手剥笋,1,5,1,0,0
豉椒蒸腊肉,1,5,1,0,0
贝丝扒菜胆,1,5,1,0,0
辣味炸鸡翅,1,5,1,0,0
辣味过江鸡,1,5,1,0,0
辣椒炒肚片,1,5,1,0,0
辣汁酱香肘,1,5,1,0,0
酥炸春花肉,1,5,1,0,0
酥皮芋蓉盅,1,5,1,0,0
酥蜜鲜果夹,1,5,1,0,0
银牙韭菜花,1,5,1,0,0
陈皮爆河虾,1,5,1,0,0
雪梨兔肉羹,1,5,1,0,0
雷公山天麻,1,5,1,0,0
靛蓝铝色淀,1,5,1,0,0
韭菜墨鱼丝,1,5,1,0,0
韭菜炒黄鳝,1,5,1,0,0
风味南美螺,1,5,1,0,0
风味腊肠卷,1,5,1,0,0
香煎莲藕饼,1,5,1,0,0
香煎菜脯蛋,1,5,1,0,0
香片辫子包,1,5,1,0,0
香肠炒油菜,1,5,1,0,0
香菠血糯饭,1,5,1,0,0
香酥牛柳卷,1,5,1,0,0
鱼羊炖时蔬,1,5,1,0,0
鲜哈蜜瓜汁,1,5,1,0,0
鲜奶鱼茸羹,1,5,1,0,0
鲜蘑炒肉片,1,5,1,0,0
鲜虾扒豆苗,1,5,1,0,0
鲜贝冬瓜球,1,5,1,0,0
鲫鱼汆白玉,1,5,1,0,0
鸡翅羊肚菌,1,5,1,0,0
麦芽山楂饮,1,5,1,0,0
麻酱拌豆腐,1,5,1,0,0
黄瓜鸡杂汤,1,5,1,0,0
黑玉米饮料,1,5,1,0,0
龙眼咸烧白,1,5,1,0,0
乡村小炒鸡,2,5,1,0,0
五味明虾片,2,5,1,0,0
五彩牛肉丝,2,5,1,0,0
五香脆皮鸡,2,5,1,0,0
仙度氏咖啡,2,5,1,0,0
修水双井茶,2,5,1,0,0
八宝糯米鸡,2,5,1,0,0
冻豆腐金针,2,5,1,0,0
凯司令蛋糕,2,5,1,0,0
十二酸乙酯,2,5,1,0,0
大枣百合汤,2,5,1,0,0
奶油核桃糕,2,5,1,0,0
奶油菠萝冻,2,5,1,0,0
姜丝焗肉蟹,2,5,1,0,0
山城棒棒鸡,2,5,1,0,0
山楂云卷糕,2,5,1,0,0
山药煮豆腐,2,5,1,0,0
巴国玉米糕,2,5,1,0,0
干菜擦酥饼,2,5,1,0,0
干贝水晶鸡,2,5,1,0,0
松脆海蜇皮,2,5,1,0,0
果汁煎肉脯,2,5,1,0,0
枸杞牛肝汤,2,5,1,0,0
柳城云片糕,2,5,1,0,0
栗子焖羊肉,2,5,1,0,0
桂花白糖饼,2,5,1,0,0
椰蓉杏仁饼,2,5,1,0,0
椰香红豆糕,2,5,1,0,0
榄仁猪油糕,2,5,1,0,0
水煮回头鱼,2,5,1,0,0
氽银耳鸭舌,2,5,1,0,0
沙参心肺汤,2,5,1,0,0
油酥小水果,2,5,1,0,0
洋葱炒鳝糊,2,5,1,0,0
济南蜜三刀,2,5,1,0,0
温州黄汤茶,2,5,1,0,0
炸鸳鸯嘎渣,2,5,1,0,0
煎豆腐鱼烙,2,5,1,0,0
煎金钱牛柳,2,5,1,0,0
牛奶煮平菇,2,5,1,0,0
牡蛎蒸米饭,2,5,1,0,0
猪脾枣米粥,2,5,1,0,0
王婆麻辣鸡,2,5,1,0,0
生地排骨汤,2,5,1,0,0
生烧筋尾舌,2,5,1,0,0
番茄泡蛋汤,2,5,1,0,0
白果桂花羹,2,5,1,0,0
百合冰咖啡,2,5,1,0,0
紫桂焖大排,2,5,1,0,0
红枣枸杞奶,2,5,1,0,0
红椒爆鲜虾,2,5,1,0,0
红油抄手酱,2,5,1,0,0
绿芦笋罐头,2,5,1,0,0
老竹大方茶,2,5,1,0,0
老鸭炖虫草,2,5,1,0,0
艄公号子鱼,2,5,1,0,0
芥兰炒香肠,2,5,1,0,0
苁蓉羊肉羹,2,5,1,0,0
茄子煮花甲,2,5,1,0,0
茄汤焗香鸡,2,5,1,0,0
茶熏八爪鱼,2,5,1,0,0
荷叶米粉鸡,2,5,1,0,0
莲子营养粉,2,5,1,0,0
莲茸层层酥,2,5,1,0,0
葱油发面饼,2,5,1,0,0
蛋黄甘露酥,2,5,1,0,0
蜜桂花生糖,2,5,1,0,0
蟹黄大生翅,2,5,1,0,0
蟹黄扒芦笋,2,5,1,0,0
豆苗炒虾片,2,5,1,0,0
豉椒墨鱼球,2,5,1,0,0
贵妃松花饼,2,5,1,0,0
酱烧冬瓜条,2,5,1,0,0
酷蛋白酸钠,2,5,1,0,0
金山时雨茶,2,5,1,0,0
金牌猪手王,2,5,1,0,0
金色咖啡茶,2,5,1,0,0
银杞明目汤,2,5,1,0,0
银芽韭菜花,2,5,1,0,0
阿胶牛肉汤,2,5,1,0,0
陆家浜糖枣,2,5,1,0,0
雪耳炖白鸽,2,5,1,0,0
青椒炒子鸡,2,5,1,0,0
青蟹粉丝煲,2,5,1,0,0
香肠烧菜花,2,5,1,0,0
香菇茭白汤,2,5,1,0,0
香酥蛋塔盅,2,5,1,0,0
鱼腥草蒸鸡,2,5,1,0,0
鲍汁百龄菇,2,5,1,0,0
鲤鱼苦瓜汤,2,5,1,0,0
鹌鹑枸杞粥,2,5,1,0,0
鹿茸炖羊肾,2,5,1,0,0
黄金咖喱角,2,5,1,0,0
黄鱼鱼肚汤,2,5,1,0,0
乳酪蒸虾仁,3,5,1,0,0
亮蓝铝色淀,3,5,1,0,0
何首乌山鸡,3,5,1,0,0
八宝炒年糕,3,5,1,0,0
剁椒胖鱼头,3,5,1,0,0
大石四季仔,3,5,1,0,0
奶黄雪蛤酥,3,5,1,0,0
嫦娥奔月饼,3,5,1,0,0
宫廷小窝头,3,5,1,0,0
小葱烧财鱼,3,5,1,0,0
尖椒耗儿鱼,3,5,1,0,0
山楂牛肉干,3,5,1,0,0
己基肉桂醛,3,5,1,0,0
帕玛森芝士,3,5,1,0,0
干火靠大虾,3,5,1,0,0
扶风鹿羔馍,3,5,1,0,0
支竹羊腩煲,3,5,1,0,0
新红铝色淀,3,5,1,0,0
木耳红枣粥,3,5,1,0,0
杭式榴莲酥,3,5,1,0,0
果酱蛋糕卷,3,5,1,0,0
枣仁龙眼粥,3,5,1,0,0
